scope,category,total,pass,partial,fail,pass_plus_partial,strict_accuracy,pass_plus_partial_accuracy,baseline_pass_plus_partial,delta_pass_plus_partial
full,all,161,94,25,42,119,58.4%,73.9%,97,+22
full,causal,11,10,0,1,10,90.9%,90.9%,6,+4
full,multi-hop,12,7,4,1,11,58.3%,91.7%,8,+3
full,preference,17,15,0,2,15,88.2%,88.2%,15,+0
full,single-hop,109,58,20,31,78,53.2%,71.6%,62,+16
full,temporal,12,4,1,7,5,33.3%,41.7%,6,-1
range_c000_c093,all,94,52,8,34,60,55.3%,63.8%,,
range_c000_c093,causal,7,6,0,1,6,85.7%,85.7%,,
range_c000_c093,multi-hop,5,3,2,0,5,60.0%,100.0%,,
range_c000_c093,preference,11,10,0,1,10,90.9%,90.9%,,
range_c000_c093,single-hop,62,32,5,25,37,51.6%,59.7%,,
range_c000_c093,temporal,9,1,1,7,2,11.1%,22.2%,,
range_c094_c160,all,67,42,17,8,59,62.7%,88.1%,,
range_c094_c160,causal,4,4,0,0,4,100.0%,100.0%,,
range_c094_c160,multi-hop,7,4,2,1,6,57.1%,85.7%,,
range_c094_c160,preference,6,5,0,1,5,83.3%,83.3%,,
range_c094_c160,single-hop,47,26,15,6,41,55.3%,87.2%,,
range_c094_c160,temporal,3,3,0,0,3,100.0%,100.0%,,
